"Name","Default Price","Duration Min","Category","Branches","Employees","Status"
"تركيب رموش نص دائمة","SAR600.00","120 Min","خدمات البشرة","1","1","Inactive"
"رفع رموش وحواجب","SAR600.00","75 Min","خدمات البشرة","1","1","Inactive"
"رفع رموش","SAR350.00","60 Min","خدمات البشرة","1","1","Inactive"
"لون شيلاك","SAR129.00","30 Min","خدمات العناية بالأظافر","2","9","Active"
"رفع حواجب","SAR350.00","60 Min","خدمات البشرة","1","1","Active"
"carboxy oxygen معالج للبشرة","SAR598.00","60 Min","خدمات البشرة","2","2","Active"
"ريترو مفتوح","SAR350.00","60 Min","خدمات الشعر","2","2","Active"
"تركيب رموش كاملة دائمة","SAR700.00","120 Min","خدمات البشرة","1","1","Active"
"معالج الشعر من كريستاس ( absolite)","SAR290.00","30 Min","خدمات الشعر","2","4","Inactive"
"معالج فوزيو لفروة الراس","SAR485.00","30 Min","خدمات الشعر","2","4","Inactive"
"تسريح الشعر القصير","SAR200.00","60 Min","خدمات الشعر","1","1","Active"
"تسريح الشعر المتوسط","SAR250.00","60 Min","خدمات الشعر","1","1","Active"
"تسريحة شعر للبنات","SAR150.00","60 Min","خدمات الشعر","1","1","Active"
"تسريحة عروس","SAR550.00","60 Min","خدمات الشعر","1","","Inactive"
"تسريحة عروس","SAR800.00","60 Min","خدمات الشعر","1","1","Inactive"
"تركيب اظافر مع شيلاك","SAR460.00","90 Min","خدمات العناية بالأظافر","2","","Inactive"
"منكير روسي","SAR250.00","45 Min","خدمات العناية بالأظافر","2","4","Active"
"منكير وبدكير روسي","SAR490.00","70 Min","خدمات العناية بالأظافر","2","4","Active"
"هايلايت للشعر الوسط","SAR690.00","210 Min","خدمات الشعر","2","2","Inactive"
"هايلايت للشعر الطويل","SAR747.50","270 Min","خدمات الشعر","2","2","Inactive"
"هايلايت للشعر القصير","SAR575.00","120 Min","خدمات الشعر","2","2","Inactive"
"هايلايت للجذور / إينوا","SAR368.00","60 Min","خدمات الشعر","2","1","Inactive"
"هايلايت للشعر الطويل جدا","SAR799.00","285 Min","خدمات الشعر","2","2","Inactive"
"هايلايت للجذور","SAR275.00","60 Min","خدمات الشعر","2","1","Inactive"
"مساج ٦٠ دقيقة- جناح ملكي (1 ساعة 15 دقيقة)","SAR480.00","75 Min","خدمات المساج","1","8","Inactive"
"جل اكستنشن منزلي","SAR790.00","220 Min","خدمات العناية بالأظافر","2","3","Inactive"
"بياب اكستنشن","SAR499.00","120 Min","خدمات العناية بالأظافر","2","3","Active"
"تسريحة  شعر","SAR350.00","120 Min","خدمات الشعر","1","1","Active"
"مساج الأحجار الساخنة 60 دقيقة منزلي","SAR630.00","180 Min","خدمات المساج","2","11","Inactive"
"ازالة شعر الوجه wax","SAR125.00","15 Min","خدمات البشرة","1","1","Active"
"ازالة شعر ايدي wax","SAR125.00","30 Min","خدمات البشرة","1","1","Active"
"ازالة شعر تحت الايدي wax","SAR75.00","15 Min","خدمات البشرة","1","1","Active"
"ازالة شعر فوق الشفايف wax","SAR50.00","15 Min","خدمات البشرة","1","2","Inactive"
"ازالة شعر كامل القدم wax","SAR225.00","30 Min","خدمات البشرة","1","1","Active"
"ازالة شعر نصف القدم wax","SAR175.00","30 Min","خدمات البشرة","1","1","Active"
"العناية الكورية بالبشرة والشعر","SAR1,199.00","120 Min","خدمات البشرة","2","2","Inactive"
"تشقير حواجب","SAR100.00","30 Min","خدمات البشرة","1","2","Inactive"
"تفتيح تحت اليدين","SAR420.00","45 Min","خدمات البشرة","2","2","Active"
"تنظيف البشرة السريع","SAR400.00","45 Min","خدمات البشرة","2","2","Inactive"
"تنظيف البشرة كلاسيك","SAR500.00","60 Min","خدمات البشرة","2","2","Inactive"
